,ImageName,BlueReference,GreenReference,RedReference,BlueSample,GreenSample,RedSample,Dilution Factor
352,IMG_353,7.983282378,158.5153191,220.2044494,13.88067237,159.8573979,209.3710363,1
353,IMG_354,9.192869191,160.5636596,221.1730937,12.65842711,167.1104534,216.0599753,1
354,IMG_355,10.23582292,157.3123576,218.2220922,15.69860242,164.0764561,213.7826472,1
355,IMG_356,8.269742473,162.4863456,223.3716642,31.57228961,182.9443231,219.8851804,2
356,IMG_357,7.015856601,160.5584971,222.5647708,28.78247577,179.8844728,217.6478892,2
357,IMG_358,7.142587654,157.4726468,220.7388929,29.1782078,180.3726048,217.3838614,2
358,IMG_359,7.30363235,159.1956653,224.7045287,25.52110844,178.8686008,218.8628765,2
359,IMG_360,8.042477758,159.2355341,222.5964947,30.24918055,181.2511205,218.9988628,2
360,IMG_361,7.215236125,154.2399173,221.0115822,45.64807011,180.8494883,215.3372801,3
361,IMG_362,6.953174125,157.5229781,218.4873236,44.03061013,180.6682523,214.7437435,3
362,IMG_363,6.714954791,158.9803552,219.3956287,46.43363056,183.6060836,213.8248277,3
363,IMG_364,6.124040079,154.3418416,218.7659621,45.28274702,180.774446,211.9346157,3
364,IMG_365,9.983494593,170.2801492,228.671789,43.74256511,195.0119451,222.0783203,3
365,IMG_366,9.708645027,169.8613153,229.1717947,63.64877,195.9294252,215.37134,4
366,IMG_367,9.624666623,169.2112795,226.9573928,64.28685259,198.9341681,218.6354265,4
367,IMG_368,9.694657015,167.3994485,226.2321269,64.35601044,199.4247107,219.390394,4
368,IMG_369,10.42275418,176.2659858,232.9868601,68.91374488,206.8171469,225.4018084,4
369,IMG_370,9.905055107,168.5032326,226.3440059,65.07513898,197.6409229,217.6054755,4
370,IMG_371,9.054765067,165.927275,223.1426674,83.60127743,198.4895972,211.8982483,5
371,IMG_372,8.434658167,161.4637351,219.6767059,86.71978326,200.5922665,213.7389323,5
372,IMG_373,10.00334748,169.7341144,227.5665611,83.98374484,196.4978757,210.5234284,5
373,IMG_374,8.423991727,161.1891761,224.6216477,85.86703961,200.2432186,213.8844077,5
374,IMG_375,8.584052445,163.2627601,222.226169,85.54324704,198.5479965,211.5118737,5
375,IMG_376,8.766343589,165.4351786,223.0528849,107.6606687,200.0915546,209.5042399,6
376,IMG_377,8.807645847,163.2584381,222.7792937,111.7019868,204.9563181,213.5818449,6
377,IMG_378,9.910306791,165.7808342,225.088797,108.0435481,203.1827547,213.2158004,6
378,IMG_379,9.673088501,166.58626,225.1833567,112.7611211,206.7259348,216.1252927,6
379,IMG_380,9.90030555,168.204363,225.2595751,105.3409859,196.8361255,206.1843502,6
380,IMG_381,8.27137071,168.7085199,227.2165849,127.7186101,201.8290343,208.5517658,7
381,IMG_382,7.845827543,164.5306078,224.9132597,132.4709017,208.7176153,214.0845591,7
382,IMG_383,7.910964258,165.5533291,222.3997016,125.9269363,197.4064946,202.5270241,7
383,IMG_384,6.365942778,165.7180972,223.8774905,126.1145122,198.7052051,204.7279559,7
384,IMG_385,5.560292759,163.9980814,223.9075535,127.8563784,201.855308,207.8415948,7
385,IMG_386,8.080160201,165.0265407,223.656405,158.3939862,204.7104,208.5380966,8
386,IMG_387,8.011572757,166.3691267,224.956618,157.7327396,203.9442286,208.3772491,8
387,IMG_388,7.815236125,162.8468804,223.8108928,155.0177269,203.3634357,207.8195197,8
388,IMG_389,7.0292721,162.5736031,221.7190529,157.7797238,200.3209995,204.797597,8
389,IMG_390,7.643741149,163.2814482,223.2205529,156.9694555,203.0448998,207.4211092,8
390,IMG_391,6.714788004,156.7260255,215.9123061,143.3449061,200.1233163,203.9809018,9
391,IMG_392,6.507411238,163.9014133,223.5642882,142.7077396,199.1319821,203.8039334,9
392,IMG_393,7.110237849,161.6251637,220.034333,142.3903271,202.6441234,207.8413941,9
393,IMG_394,7.162288866,164.6701827,224.611789,141.5087901,201.1147191,205.6367459,9
394,IMG_395,6.848879697,163.2526026,223.3778697,137.7635293,199.4612349,205.0800722,9
395,IMG_396,7.738885727,164.7777778,223.2872953,162.8611278,199.6251254,203.8955783,10
396,IMG_397,7.662987491,165.0703057,223.7057328,163.4790217,199.5782216,204.0854745,10
397,IMG_398,6.938908482,170.4033714,228.2573376,167.3476,204.5843147,208.3835854,10
398,IMG_399,7.824456622,175.4893787,232.4476941,166.041111,204.3983608,208.2365186,10
399,IMG_400,7.257065452,166.4593929,226.8303676,170.4273699,205.9819136,210.4182635,10
400,IMG_401,9.333284575,123.3341622,171.1739925,13.54672061,129.5362172,166.9827278,1
401,IMG_402,6.990585855,114.6456858,161.6687155,10.78197908,123.5071308,159.555328,1
402,IMG_403,5.71051466,108.4454779,153.5105855,8.721031077,114.8206055,149.0291496,1
403,IMG_404,8.038731688,123.9116998,174.3396883,12.66735608,131.7279559,169.5446398,1
404,IMG_405,9.980727788,147.6322887,201.0184102,14.77015185,148.9110977,189.0996053,1
405,IMG_406,9.388186501,129.2901866,180.3024283,26.75718718,153.2895553,176.8893485,2
406,IMG_407,8.031549776,123.7729695,175.2381155,23.9415374,149.6301965,172.8778352,2
407,IMG_408,8.173681129,129.6266831,181.3530866,24.82473744,152.0573282,176.6611813,2
408,IMG_409,8.47207171,125.6370995,175.2212857,23.25801057,147.3418289,171.9773898,2
409,IMG_410,8.647200482,126.9412001,178.1594756,23.04442854,149.1672413,174.3831393,2
410,IMG_411,7.348277627,122.4237548,173.6604257,33.07662171,153.1138401,168.5600844,3
411,IMG_412,8.082661151,129.795312,178.7650465,36.19093299,159.1728132,175.2800398,3
412,IMG_413,8.319477013,125.5439494,175.1277624,35.26831226,153.799719,168.2683123,3
413,IMG_414,7.58655636,121.5566356,172.8975526,33.77263013,151.8093071,166.9991727,3
414,IMG_415,9.498860908,128.6942922,177.6389385,36.86078068,157.5028394,171.7390759,3
415,IMG_416,7.879831236,125.7332932,174.2602275,54.83083449,162.1802823,167.4968917,4
416,IMG_417,7.693702918,120.5504279,167.5072771,54.32889637,157.1843048,161.0724786,4
417,IMG_418,8.908931243,125.701945,172.5193521,55.20321343,157.4731022,161.7838418,4
418,IMG_419,7.885028068,118.1667733,165.4738862,53.17900863,151.8664794,155.9833434,4
419,IMG_420,8.091830403,119.1682868,165.1378835,51.81483711,151.1462305,155.1210114,4
420,IMG_421,7.341647126,127.8198678,176.1649968,78.65643431,167.0190436,165.3028494,5
421,IMG_422,8.047378142,121.9372842,175.5870874,80.57877538,167.4182681,165.0273866,5
422,IMG_423,8.600137883,126.6530162,176.1638745,80.38151069,167.5804732,165.0788034,5
423,IMG_424,8.138099902,120.546749,168.3328562,76.58845901,161.9950267,159.4642727,5
424,IMG_425,7.788957578,121.8967526,170.2136716,73.72919775,160.9283735,159.392951,5
425,IMG_426,7.484897243,130.1808674,180.4764134,104.9060613,173.0666525,166.3314858,6
426,IMG_427,8.999610986,120.4521123,169.9124718,102.4602501,167.2096102,160.5399693,6
427,IMG_428,8.614715132,124.2708989,171.8196446,99.54208893,166.3140986,159.8053775,6
428,IMG_429,8.47824179,121.8224969,171.4421122,98.1314574,167.0928729,160.813899,6
429,IMG_430,8.155269509,119.5619103,168.44416,99.39048604,167.4432954,161.3593244,6
430,IMG_431,7.788404401,120.1610857,172.2592146,120.470007,168.3704194,160.1618299,7
431,IMG_432,7.198297295,115.0608001,162.2348376,120.5541107,164.779649,155.323172,7
432,IMG_433,8.024259775,122.7897235,173.2656521,126.3675833,170.2297307,160.8310239,7
433,IMG_434,8.304033092,121.6182696,169.3517408,125.4963543,168.4990969,159.1739916,7
434,IMG_435,8.449371136,126.5370568,175.406381,126.7749579,172.0948585,162.8113801,7
